Dataset,Seed,Method,Class,Support,Precision,Recall,F1
BoTNeTIoT-L01,33,Raw+AE concat + MLP,Benign,4500,99.86672589960016,99.91111111111113,99.88891357476116
BoTNeTIoT-L01,33,Raw+AE concat + MLP,Attack,4500,99.91107158737216,99.86666666666667,99.88886419204267
BoTNeTIoT-L01,33,Raw+AE Transformer (optimized protocol),Benign,4500,99.34389140271492,97.57777777777775,98.45291479820628
BoTNeTIoT-L01,33,Raw+AE Transformer (optimized protocol),Attack,4500,97.62008733624454,99.35555555555555,98.48017621145374
BoTNeTIoT-L01,33,XGBoost,Benign,4500,100.0,99.97777777777776,99.9888876541838
BoTNeTIoT-L01,33,XGBoost,Attack,4500,99.97778271495224,100.0,99.98889012331963
BoTNeTIoT-L01,33,Optimized Raw Transformer,Benign,4500,99.17244464325654,98.53333333333332,98.85185598038125
BoTNeTIoT-L01,33,Optimized Raw Transformer,Attack,4500,98.54272466328108,99.17777777777778,98.85923136559973
BoTNeTIoT-L01,33,AE latent + MLP,Benign,4500,99.82234066178104,99.8888888888889,99.85560368765968
BoTNeTIoT-L01,33,AE latent + MLP,Attack,4500,99.88881476539916,99.82222222222222,99.85550739135267
BoTNeTIoT-L01,33,Optimized Gated AE-T,Benign,4500,99.93336294980008,99.97777777777776,99.95556542990448
BoTNeTIoT-L01,33,Optimized Gated AE-T,Attack,4500,99.97776789684303,99.93333333333332,99.95554567681708
BoTNeTIoT-L01,33,Raw + MLP,Benign,4500,99.95553579368608,99.91111111111113,99.9333185152256
BoTNeTIoT-L01,33,Raw + MLP,Attack,4500,99.91115059973346,99.95555555555556,99.93334814485672
BoTNeTIoT-L01,33,Gated AE-T without focal,Benign,4500,99.93337774816789,100.0,99.96667777407532
BoTNeTIoT-L01,33,Gated AE-T without focal,Attack,4500,100.0,99.93333333333332,99.9666555518506
BoTNeTIoT-L01,33,Random Forest,Benign,4500,100.0,99.95555555555556,99.97777283840854
BoTNeTIoT-L01,33,Random Forest,Attack,4500,99.95557529986672,100.0,99.97778271495224
BoTNeTIoT-L01,44,Raw+AE concat + MLP,Benign,4500,99.68971631205676,99.95555555555556,99.8224589436307
BoTNeTIoT-L01,44,Raw+AE concat + MLP,Attack,4500,99.9554367201426,99.6888888888889,99.82198486871384
BoTNeTIoT-L01,44,Raw+AE Transformer (optimized protocol),Benign,4500,99.79381443298968,96.8,98.2741116751269
BoTNeTIoT-L01,44,Raw+AE Transformer (optimized protocol),Attack,4500,96.89320388349516,99.8,98.32512315270937
BoTNeTIoT-L01,44,XGBoost,Benign,4500,99.97777283840854,99.95555555555556,99.9666629625514
BoTNeTIoT-L01,44,XGBoost,Attack,4500,99.95556542990448,99.97777777777776,99.9666703699589
BoTNeTIoT-L01,44,Optimized Raw Transformer,Benign,4500,97.80790960451978,96.17777777777778,96.9859943977591
BoTNeTIoT-L01,44,Optimized Raw Transformer,Attack,4500,96.24043715846994,97.84444444444443,97.03581267217632
BoTNeTIoT-L01,44,AE latent + MLP,Benign,4500,99.77812291990236,99.93333333333332,99.8556678139225
BoTNeTIoT-L01,44,AE latent + MLP,Attack,4500,99.93322946806144,99.77777777777776,99.85544312242855
BoTNeTIoT-L01,44,Optimized Gated AE-T,Benign,4500,99.68978506536672,99.97777777777776,99.833573726839
BoTNeTIoT-L01,44,Optimized Gated AE-T,Attack,4500,99.97771339425006,99.6888888888889,99.83309224435295
BoTNeTIoT-L01,44,Raw + MLP,Benign,4500,99.7781721384206,99.95555555555556,99.86678507992896
BoTNeTIoT-L01,44,Raw + MLP,Attack,4500,99.95547640249332,99.77777777777776,99.86654804270462
BoTNeTIoT-L01,44,Gated AE-T without focal,Benign,4500,99.80022197558267,99.91111111111113,99.85563575791228
BoTNeTIoT-L01,44,Gated AE-T without focal,Attack,4500,99.91101223581758,99.8,99.85547526403558
BoTNeTIoT-L01,44,Random Forest,Benign,4500,99.97776789684303,99.93333333333332,99.95554567681708
BoTNeTIoT-L01,44,Random Forest,Attack,4500,99.93336294980008,99.97777777777776,99.95556542990448
BoTNeTIoT-L01,11,Raw+AE concat + MLP,Benign,4500,99.84451354953354,99.8888888888889,99.8666962897134
BoTNeTIoT-L01,11,Raw+AE concat + MLP,Attack,4500,99.8888394842152,99.84444444444443,99.86663703045122
BoTNeTIoT-L01,11,Raw+AE Transformer (optimized protocol),Benign,4500,98.79839786381842,98.66666666666669,98.73248832555038
BoTNeTIoT-L01,11,Raw+AE Transformer (optimized protocol),Attack,4500,98.66844207723037,98.8,98.73417721518987
BoTNeTIoT-L01,11,XGBoost,Benign,4500,100.0,99.95555555555556,99.97777283840854
BoTNeTIoT-L01,11,XGBoost,Attack,4500,99.95557529986672,100.0,99.97778271495224
BoTNeTIoT-L01,11,Optimized Raw Transformer,Benign,4500,99.33672341366348,99.84444444444443,99.58993682810596
BoTNeTIoT-L01,11,Optimized Raw Transformer,Attack,4500,99.84364529819076,99.33333333333331,99.58783557981508
BoTNeTIoT-L01,11,AE latent + MLP,Benign,4500,99.80017761989345,99.8888888888889,99.84451354953354
BoTNeTIoT-L01,11,AE latent + MLP,Attack,4500,99.8887900355872,99.8,99.84437527790128
BoTNeTIoT-L01,11,Optimized Gated AE-T,Benign,4500,99.91115059973346,99.95555555555556,99.93334814485672
BoTNeTIoT-L01,11,Optimized Gated AE-T,Attack,4500,99.95553579368608,99.91111111111113,99.9333185152256
BoTNeTIoT-L01,11,Raw + MLP,Benign,4500,99.8224589436307,99.95555555555556,99.88896291361314
BoTNeTIoT-L01,11,Raw + MLP,Attack,4500,99.95549621717846,99.82222222222222,99.88881476539916
BoTNeTIoT-L01,11,Gated AE-T without focal,Benign,4500,99.86678507992896,99.95555555555556,99.91115059973346
BoTNeTIoT-L01,11,Gated AE-T without focal,Attack,4500,99.95551601423487,99.86666666666667,99.91107158737216
BoTNeTIoT-L01,11,Random Forest,Benign,4500,100.0,99.93333333333332,99.9666555518506
BoTNeTIoT-L01,11,Random Forest,Attack,4500,99.93337774816789,100.0,99.96667777407532
BoTNeTIoT-L01,22,Raw+AE concat + MLP,Benign,4500,99.75571840994893,99.82222222222222,99.78895923581028
BoTNeTIoT-L01,22,Raw+AE concat + MLP,Attack,4500,99.82210362463864,99.75555555555556,99.78881849505392
BoTNeTIoT-L01,22,Raw+AE Transformer (optimized protocol),Benign,4500,98.63736263736264,99.73333333333332,99.18232044198896
BoTNeTIoT-L01,22,Raw+AE Transformer (optimized protocol),Attack,4500,99.73033707865169,98.62222222222222,99.1731843575419
BoTNeTIoT-L01,22,XGBoost,Benign,4500,99.97777283840854,99.95555555555556,99.9666629625514
BoTNeTIoT-L01,22,XGBoost,Attack,4500,99.95556542990448,99.97777777777776,99.9666703699589
BoTNeTIoT-L01,22,Optimized Raw Transformer,Benign,4500,98.14311594202898,96.31111111111112,97.21848362494391
BoTNeTIoT-L01,22,Optimized Raw Transformer,Attack,4500,96.3787085514834,98.17777777777778,97.26992514310876
BoTNeTIoT-L01,22,AE latent + MLP,Benign,4500,99.68957871396896,99.91111111111113,99.80022197558267
BoTNeTIoT-L01,22,AE latent + MLP,Attack,4500,99.9109131403118,99.6888888888889,99.79977753058954
BoTNeTIoT-L01,22,Optimized Gated AE-T,Benign,4500,99.91113085980892,99.93333333333332,99.92223086323742
BoTNeTIoT-L01,22,Optimized Gated AE-T,Attack,4500,99.9333185152256,99.91111111111113,99.9222135792866
BoTNeTIoT-L01,22,Raw + MLP,Benign,4500,99.68964752826425,99.93333333333332,99.81134169348574
BoTNeTIoT-L01,22,Raw + MLP,Attack,4500,99.93316997104031,99.6888888888889,99.81087996440094
BoTNeTIoT-L01,22,Gated AE-T without focal,Benign,4500,99.91111111111113,99.91111111111113,99.91111111111113
BoTNeTIoT-L01,22,Gated AE-T without focal,Attack,4500,99.91111111111113,99.91111111111113,99.91111111111113
BoTNeTIoT-L01,22,Random Forest,Benign,4500,99.97777777777776,99.97777777777776,99.97777777777776
BoTNeTIoT-L01,22,Random Forest,Attack,4500,99.97777777777776,99.97777777777776,99.97777777777776
BoTNeTIoT-L01,55,Raw+AE concat + MLP,Benign,4500,99.82226171961788,99.84444444444443,99.83335184979448
BoTNeTIoT-L01,55,Raw+AE concat + MLP,Attack,4500,99.84440986885976,99.82222222222222,99.83331481275695
BoTNeTIoT-L01,55,Raw+AE Transformer (optimized protocol),Benign,4500,99.48614834673816,98.95555555555556,99.22014260249554
BoTNeTIoT-L01,55,Raw+AE Transformer (optimized protocol),Attack,4500,98.96109637488948,99.4888888888889,99.22429078014184
BoTNeTIoT-L01,55,XGBoost,Benign,4500,99.95557529986672,100.0,99.97778271495224
BoTNeTIoT-L01,55,XGBoost,Attack,4500,100.0,99.95555555555556,99.97777283840854
BoTNeTIoT-L01,55,Optimized Raw Transformer,Benign,4500,99.598841096501,99.3111111111111,99.45476799821964
BoTNeTIoT-L01,55,Optimized Raw Transformer,Attack,4500,99.31309550188344,99.6,99.45634084100745
BoTNeTIoT-L01,55,AE latent + MLP,Benign,4500,99.84437527790128,99.8,99.82218270726828
BoTNeTIoT-L01,55,AE latent + MLP,Attack,4500,99.80008884940028,99.84444444444443,99.82226171961788
BoTNeTIoT-L01,55,Optimized Gated AE-T,Benign,4500,99.86666666666667,99.86666666666667,99.86666666666667
BoTNeTIoT-L01,55,Optimized Gated AE-T,Attack,4500,99.86666666666667,99.86666666666667,99.86666666666667
BoTNeTIoT-L01,55,Raw + MLP,Benign,4500,99.8220640569395,99.73333333333332,99.77767896843042
BoTNeTIoT-L01,55,Raw + MLP,Attack,4500,99.7335701598579,99.82222222222222,99.77787649933364
BoTNeTIoT-L01,55,Gated AE-T without focal,Benign,4500,99.88896291361314,99.95555555555556,99.92224813950904
BoTNeTIoT-L01,55,Gated AE-T without focal,Attack,4500,99.95552590615966,99.8888888888889,99.92219628765145
BoTNeTIoT-L01,55,Random Forest,Benign,4500,100.0,99.97777777777776,99.9888876541838
BoTNeTIoT-L01,55,Random Forest,Attack,4500,99.97778271495224,100.0,99.98889012331963
CICIDS2017-7group,33,Raw+AE concat + MLP,BENIGN,600,88.2747068676717,87.83333333333333,88.05346700083541
CICIDS2017-7group,33,Raw+AE concat + MLP,Bot/Infiltration,598,91.1353032659409,97.9933110367893,94.43996776792908
CICIDS2017-7group,33,Raw+AE concat + MLP,Brute Force,600,97.35449735449735,92.0,94.60154241645245
CICIDS2017-7group,33,Raw+AE concat + MLP,DDoS,600,98.97260273972604,96.33333333333334,97.63513513513512
CICIDS2017-7group,33,Raw+AE concat + MLP,DoS,600,95.697074010327,92.66666666666666,94.15749364944962
CICIDS2017-7group,33,Raw+AE concat + MLP,PortScan,600,96.30872483221476,95.66666666666669,95.9866220735786
CICIDS2017-7group,33,Raw+AE concat + MLP,Web Attack,202,78.87931034482759,90.5940594059406,84.33179723502305
CICIDS2017-7group,33,Raw+AE Transformer (optimized protocol),BENIGN,600,22.78481012658228,15.0,18.09045226130653
CICIDS2017-7group,33,Raw+AE Transformer (optimized protocol),Bot/Infiltration,598,55.73529411764706,63.37792642140469,59.31142410015649
CICIDS2017-7group,33,Raw+AE Transformer (optimized protocol),Brute Force,600,46.71814671814672,80.66666666666666,59.168704156479215
CICIDS2017-7group,33,Raw+AE Transformer (optimized protocol),DDoS,600,88.31615120274914,42.833333333333336,57.68799102132436
CICIDS2017-7group,33,Raw+AE Transformer (optimized protocol),DoS,600,63.12056737588653,59.333333333333336,61.16838487972509
CICIDS2017-7group,33,Raw+AE Transformer (optimized protocol),PortScan,600,79.12457912457911,39.16666666666666,52.39687848383501
CICIDS2017-7group,33,Raw+AE Transformer (optimized protocol),Web Attack,202,33.5195530726257,89.10891089108911,48.714479025710425
CICIDS2017-7group,33,XGBoost,BENIGN,600,98.8313856427379,98.66666666666669,98.7489574645538
CICIDS2017-7group,33,XGBoost,Bot/Infiltration,598,99.4991652754591,99.66555183946488,99.58228905597326
CICIDS2017-7group,33,XGBoost,Brute Force,600,95.578231292517,93.66666666666669,94.61279461279462
CICIDS2017-7group,33,XGBoost,DDoS,600,100.0,99.83333333333331,99.9165971643036
CICIDS2017-7group,33,XGBoost,DoS,600,99.16805324459234,99.33333333333331,99.25062447960032
CICIDS2017-7group,33,XGBoost,PortScan,600,99.83333333333331,99.83333333333331,99.83333333333331
CICIDS2017-7group,33,XGBoost,Web Attack,202,81.77570093457945,86.63366336633663,84.13461538461539
CICIDS2017-7group,33,Optimized Raw Transformer,BENIGN,600,46.986089644513136,50.66666666666667,48.757016840417
CICIDS2017-7group,33,Optimized Raw Transformer,Bot/Infiltration,598,63.40425531914894,24.91638795986622,35.77430972388956
CICIDS2017-7group,33,Optimized Raw Transformer,Brute Force,600,73.45399698340876,81.16666666666667,77.11797307996832
CICIDS2017-7group,33,Optimized Raw Transformer,DDoS,600,49.7029702970297,83.66666666666667,62.36024844720497
CICIDS2017-7group,33,Optimized Raw Transformer,DoS,600,77.1900826446281,77.83333333333333,77.51037344398341
CICIDS2017-7group,33,Optimized Raw Transformer,PortScan,600,81.21827411167513,53.333333333333336,64.38631790744466
CICIDS2017-7group,33,Optimized Raw Transformer,Web Attack,202,73.17073170731707,89.10891089108911,80.35714285714286
CICIDS2017-7group,33,AE latent + MLP,BENIGN,600,89.78102189781022,82.0,85.71428571428571
CICIDS2017-7group,33,AE latent + MLP,Bot/Infiltration,598,89.9513776337115,92.80936454849498,91.35802469135804
CICIDS2017-7group,33,AE latent + MLP,Brute Force,600,93.76083188908146,90.16666666666666,91.928632115548
CICIDS2017-7group,33,AE latent + MLP,DDoS,600,98.62306368330464,95.5,97.0364098221846
CICIDS2017-7group,33,AE latent + MLP,DoS,600,91.2685337726524,92.33333333333331,91.79784589892294
CICIDS2017-7group,33,AE latent + MLP,PortScan,600,88.66141732283465,93.83333333333331,91.17408906882592
CICIDS2017-7group,33,AE latent + MLP,Web Attack,202,77.87234042553192,90.5940594059406,83.7528604118993
CICIDS2017-7group,33,Optimized Gated AE-T,BENIGN,600,87.33509234828496,55.16666666666666,67.6200204290092
CICIDS2017-7group,33,Optimized Gated AE-T,Bot/Infiltration,598,81.71262699564586,94.14715719063544,87.49028749028749
